fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
431835896,431835901,4,3058,1509,2148.14,-0.706314,-27.9949,-43.6555,-35.8252,4.09
433110190,433110197,6,5176,1745,3005.35,-1.08728,-43.6187,-61.8997,-52.7592,6.09
439744746,439744743,-3,767,1585,1102.59,0.725853,17.6996,22.5296,20.1146,-2.91
440548970,440548976,5,2786,1134,1777.45,-0.898856,-35.5471,-52.8427,-44.1949,5.09
442533194,442533200,5,2352,1544,1905.65,-0.42089,-35.5471,-30.1625,-32.8548,5.09
442596706,442596712,5,4704,2410,3366.99,-0.668786,-35.5471,-41.8728,-38.71,5.09
448989417,448989422,4,2918,1090,1783.43,-0.984721,-27.9949,-56.9618,-42.4784,4.09
454379948,454379954,5,3176,1163,1921.9,-1.00462,-35.5471,-57.9184,-46.7327,5.09
455865406,455865384,-22,907,358,569.83,-0.929609,273.58,-54.3164,109.632,-21.91
458671077,458671086,8,2547,1282,1807.0,-0.686495,-61.6711,-42.7137,-52.1924,8.09
465237673,465237679,5,1831,920,1297.89,-0.688244,-35.5471,-42.7968,-39.1719,5.09
465448387,465448372,-15,4248,1742,2720.3,-0.891414,133.542,-52.4863,40.5278,-14.91
466675681,466675686,4,2445,1468,1894.53,-0.510144,-27.9949,-34.3657,-31.1803,4.09
466997334,466997339,4,3423,1344,2144.88,-0.934867,-27.9949,-54.5686,-41.2817,4.09
467553052,467553059,6,2512,838,1450.88,-1.09782,-43.6187,-62.4082,-53.0134,6.09
470685026,470685008,-18,1165,199,481.492,-1.76717,184.387,-95.1263,44.6305,-17.91
473308715,473308723,7,2027,1217,1570.62,-0.510168,-52.2974,-34.3668,-43.3321,7.09
473983998,473984008,9,15709,28376,21113.0,0.59131,-71.8275,16.4734,-27.677,9.09
474989001,474989006,4,2718,1147,1765.66,-0.862746,-27.9949,-51.1145,-39.5547,4.09
475235945,475235955,9,3743,1274,2183.71,-1.07773,-71.8275,-61.4389,-66.6332,9.09
479343974,479343966,-8,2061,10682,4692.08,1.64537,54.0655,63.0243,58.5449,-7.91
487340758,487340765,6,2187,1600,1870.61,-0.312527,-43.6187,-25.0793,-34.349,6.09
487979415,487979424,8,493,187,303.63,-0.969401,-61.6711,-56.2259,-58.9485,8.09
489301378,489301385,6,2135,991,1454.57,-0.767507,-43.6187,-46.5679,-45.0933,6.09
489975376,489975382,5,2667,1224,1806.77,-0.77883,-35.5471,-47.1075,-41.3273,5.09
490285403,490285386,-17,2915,1404,2023.03,-0.730545,166.057,-44.8079,60.6243,-16.91
490714526,490714533,6,3622,1173,2061.21,-1.12746,-43.6187,-63.8397,-53.7292,6.09
497654351,497654359,7,4550,1707,2786.91,-0.98039,-52.2974,-56.7537,-54.5256,7.09
