fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
1291086507,1291086504,-3,1012,2783,1678.21,1.0116,17.6996,35.2812,26.4904,-2.91
1292228571,1292228586,14,685,1128,879.022,0.498783,-137.422,12.289,-62.5664,14.09
1296598257,1296598253,-4,2399,4492,3282.73,0.627246,24.2562,18.0943,21.1753,-3.91
1303099410,1303099409,-1,1293,1362,1327.05,0.0519891,5.04683,-8.13938,-1.54628,-0.91
1303856026,1303856024,-2,920,1598,1212.5,0.552134,11.3257,14.7037,13.0147,-1.91
1304663265,1304663285,19,233,1473,585.84,1.84402,-235.749,71.5673,-82.0909,19.09
1304888038,1304888033,-5,933,2168,1422.23,0.843155,31.0834,27.7825,29.4329,-4.91
1305256958,1305256956,-2,1880,4072,2766.83,0.772863,11.3257,24.6378,17.9818,-1.91
1314485254,1314485251,-3,1282,2624,1834.11,0.716279,17.6996,22.0998,19.8997,-2.91
1319901116,1319901115,-1,1379,1913,1624.2,0.327314,5.04683,4.49271,4.76977,-0.91
1319933299,1319933294,-5,216,631,369.183,1.07203,31.0834,37.9583,34.5209,-4.91
1320836684,1320836695,10,209,741,393.534,1.26567,-82.8543,46.492,-18.1811,10.09
1321154714,1321154729,14,714,1099,885.825,0.431273,-137.422,9.22596,-64.0979,14.09
1321650491,1321650487,-4,1350,2341,1777.74,0.550474,24.2562,14.6286,19.4424,-3.91
1323023405,1323023400,-5,1096,2257,1572.79,0.722369,31.0834,22.3733,26.7283,-4.91
1323247697,1323247682,-15,35,1255,209.583,3.57954,133.542,143.101,138.321,-14.91
1323361580,1323361579,-1,182,1061,439.434,1.76296,5.04683,68.0902,36.5685,-0.91
1323622233,1323622229,-4,832,1632,1165.26,0.673729,24.2562,20.1873,22.2218,-3.91
1326277202,1326277204,1,1238,2255,1670.84,0.599653,-7.57712,16.8499,4.63639,1.09
1326397681,1326397674,-7,834,3738,1765.64,1.50007,45.9003,56.7296,51.3149,-6.91
1326893038,1326893035,-3,1076,2914,1770.72,0.996276,17.6996,34.6011,26.1504,-2.91
1330553454,1330553449,-5,968,3058,1720.51,1.15028,31.0834,41.4155,36.2494,-4.91
1331593123,1331593118,-5,827,3425,1683.0,1.42105,31.0834,53.2898,42.1866,-4.91
1339012983,1339012980,-3,1372,3589,2219.03,0.961604,17.6996,33.0609,25.3803,-2.91
1344455094,1344455090,-4,1120,2497,1672.32,0.801761,24.2562,25.9318,25.094,-3.91
1353606382,1353606377,-5,1505,3762,2379.46,0.916158,31.0834,31.0388,31.0611,-4.91
1357420467,1357420462,-5,1245,3057,1950.89,0.898299,31.0834,30.2431,30.6632,-4.91
1362395887,1362395882,-5,1540,3791,2416.22,0.900847,31.0834,30.3567,30.72,-4.91
1363941129,1363941122,-7,1300,3916,2256.28,1.10271,45.9003,39.315,42.6076,-6.91
1364639624,1364639621,-3,768,2278,1322.69,1.08726,17.6996,38.6323,28.166,-2.91
1365297005,1365297001,-4,969,2876,1669.38,1.08789,24.2562,38.6601,31.4582,-3.91
1368359479,1368359473,-6,1076,2757,1722.36,0.940893,38.2688,32.1399,35.2043,-5.91
1370599139,1370599136,-3,1319,2913,1960.17,0.79231,17.6996,25.5087,21.6042,-2.91
1372637901,1372637915,13,11303,37018,20455.2,1.18634,-122.035,43.0043,-39.5155,13.09
1377524850,1377524846,-4,844,855,849.482,0.012949,24.2562,-9.94192,7.15716,-3.91
1379815188,1379815187,-1,1540,2134,1812.83,0.326216,5.04683,4.44259,4.74471,-0.91
1386696466,1386696461,-5,1216,2775,1836.95,0.825084,31.0834,26.9749,29.0292,-4.91
1389719189,1389719182,-7,998,3502,1869.49,1.25534,45.9003,46.0385,45.9694,-6.91
1395587661,1395587658,-3,990,2768,1655.39,1.02818,17.6996,36.0162,26.8579,-2.91
1396038736,1396038751,14,264,1154,551.957,1.47504,-137.422,55.6411,-40.8903,14.09
1396807422,1396807417,-5,1048,3188,1827.85,1.11251,31.0834,39.7482,35.4158,-4.91
1397537961,1397537954,-7,1198,2722,1805.81,0.820713,45.9003,26.7795,36.3399,-6.91
1399940820,1399940814,-6,1290,3695,2183.24,1.05234,38.2688,37.0868,37.6778,-5.91
1401903601,1401903595,-6,907,3425,1762.52,1.32871,38.2688,49.2556,43.7622,-5.91
1405082929,1405082923,-6,1179,3407,2004.21,1.06117,38.2688,37.4776,37.8732,-5.91
1408518941,1408518937,-4,1670,3425,2391.6,0.718278,24.2562,22.1895,23.2229,-3.91
