fTNear,fTFar,fDelT,fQNear,fQFar,d
551328179,551328183,4,1923,1709,-10
551703811,551703815,4,994,819,-10
553722731,553722712,-19,1116,1306,-10
555249298,555249298,0,1374,1128,-10
556913061,556913061,0,1507,1147,-10
558166938,558166944,6,1857,1248,-10
560419309,560419311,2,1362,1547,-10
565217912,565217914,2,1834,1348,-10
566614351,566614353,2,1289,1429,-10
568705564,568705566,2,1800,1209,-10
569716422,569716421,-1,16828,12449,-10
574236431,574236433,2,1064,1263,-10
575356779,575356757,-22,2025,1836,-10
576412170,576412171,1,1629,1586,-10
577205198,577205198,0,1373,1326,-10
579118423,579118422,-1,1185,1501,-10
581050297,581050301,4,1321,1364,-10
584448377,584448379,2,1837,1893,-10
586083194,586083197,3,1789,1440,-10
588281762,588281766,4,1342,1521,-10
589037965,589037965,0,1726,1536,-10
589152604,589152605,1,977,1616,-10
591392505,591392507,2,1719,1194,-10
592576726,592576727,1,1601,1923,-10
593984631,593984633,2,1542,1959,-10
597958049,597958051,2,2175,1900,-10
604630538,604630540,2,1336,1565,-10
604842675,604842674,-1,1084,1386,-10
606819617,606819619,2,1446,1349,-10
607103505,607103507,2,1609,1473,-10
608269868,608269870,2,1489,1564,-10
608439922,608439924,2,1805,1500,-10
610747647,610747651,4,2591,1375,-10
612187865,612187866,1,1608,1313,-10
612273345,612273346,1,1718,1743,-10
613776741,613776742,1,1734,1829,-10
613811850,613811853,3,1035,1036,-10
622327108,622327111,3,1149,1165,-10
625662360,625662363,3,1974,2302,-10
626246011,626246011,0,1222,1307,-10
629730051,629730052,1,1605,1684,-10
629908002,629908018,16,1078,3271,-10
636038607,636038607,0,1635,1605,-10
636616859,636616857,-2,785,1658,-10
637000253,637000251,-2,2205,3735,-10
637076243,637076245,2,1854,1472,-10
637396160,637396160,0,1814,1538,-10
637926460,637926463,3,1702,1120,-10
640698341,640698342,1,1629,1470,-10
643938894,643938898,4,1457,1412,-10
647737754,647737755,1,1564,1588,-10
650686247,650686249,2,1816,1624,-10
651845825,651845826,1,910,1664,-10
653170343,653170341,-2,1193,2147,-10
653315575,653315577,2,1678,2089,-10
655433082,655433081,-1,1358,1594,-10
658508229,658508230,1,1038,1515,-10
662288256,662288259,3,1943,1786,-10
662826921,662826923,2,1594,2152,-10
664247297,664247297,0,1205,1709,-10
665749415,665749418,3,1490,1593,-10
671492826,671492827,1,2130,2077,-10
673009094,673009088,-6,1313,3135,-10
677856059,677856061,2,1062,1708,-10
679905714,679905717,3,2029,1654,-10
682772967,682772967,0,1481,1914,-10
682852992,682852991,-1,1214,1242,-10
683161474,683161475,1,1845,2315,-10
685537733,685537734,1,1924,1544,-10
687907907,687907909,2,1952,2093,-10
692396528,692396530,2,1707,1893,-10
692554414,692554414,0,2092,1831,-10
694303765,694303768,3,1484,1121,-10
696950529,696950526,-3,1214,2204,-10
697387755,697387758,3,1613,1682,-10
698706353,698706354,1,47534,59017,-10
698997486,698997488,2,2019,1983,-10
700530316,700530317,1,1508,1499,-10
705535368,705535373,5,1754,1496,-10
707353562,707353565,3,1604,1667,-10
710219785,710219787,2,892,1358,-10
714057946,714057947,1,1236,1395,-10
714363847,714363850,3,1407,1396,-10
716407762,716407764,2,1746,1429,-10
716599729,716599729,0,1526,1453,-10
717463514,717463516,2,1376,2222,-10
722269438,722269441,3,1982,1226,-10
725325018,725325017,-1,1601,3018,-10
728959198,728959198,0,1787,1644,-10
729351262,729351265,3,1684,1385,-10
733273698,733273698,0,1762,1237,-10
735005572,735005575,3,937,1102,-10
736312811,736312811,0,1072,1196,-10
744609110,744609112,2,1678,1592,-10
744726171,744726172,1,800,1379,-10
746929341,746929343,2,1746,1688,-10
747363074,747363075,1,2088,1676,-10
747475974,747475974,0,1219,1148,-10
750189530,750189531,1,1656,1850,-10
750830462,750830462,0,911,1219,-10
752156985,752156987,2,1668,1659,-10
753283826,753283827,1,1258,1332,-10
757171313,757171314,1,1133,1337,-10
758774275,758774277,2,1810,1437,-10
759416290,759416293,3,2007,2263,-10
760333378,760333377,-1,836,1064,-10
760578065,760578065,0,1219,1770,-10
765476393,765476381,-12,1297,1343,-10
766274152,766274147,-5,818,1234,-10
771160221,771160223,2,1132,999,-10
773045819,773045822,3,1231,1365,-10
774212513,774212514,1,1852,1164,-10
775384804,775384806,2,1145,1917,-10
777494893,777494895,2,1549,1197,-10
778612059,778612062,3,1372,1296,-10
783445746,783445748,2,1754,1473,-10
783907562,783907562,0,1847,2180,-10
788189298,788189300,2,1840,1684,-10
792104974,792104975,1,1110,1519,-10
792369917,792369918,1,1243,1393,-10
793018074,793018078,4,2308,1345,-10
794282186,794282189,3,1027,1209,-10
796143814,796143817,3,1864,1675,-10
797850703,797850702,-1,1133,1775,-10
800395782,800395786,4,1178,1392,-10
802584057,802584058,1,1301,1493,-10
804366433,804366435,2,1243,1668,-10
807916586,807916587,1,1307,1463,-10
808415350,808415352,2,1532,1719,-10
808447014,808447014,0,1687,2335,-10
810977470,810977471,1,2253,1874,-10
811566867,811566870,3,1341,1183,-10
813660524,813660546,22,1233,1224,-10
814602002,814602003,1,1661,1603,-10
818286165,818286166,1,1241,1176,-10
820865722,820865725,3,2089,1430,-10
820930741,820930742,1,1692,1738,-10
822855735,822855738,3,1812,1277,-10
825172077,825172082,5,1343,1651,-10
830020018,830020022,4,4107,2593,-10
835731886,835731888,2,1215,1182,-10
838133162,838133162,0,1179,1272,-10
838166325,838166321,-4,1026,1183,-10
839414854,839414857,3,1569,1873,-10
841084404,841084409,5,13825,7206,-10
841221803,841221805,2,2123,1184,-10
845157939,845157939,0,1699,1512,-10
850208022,850208023,1,1287,1404,-10
853333430,853333432,2,1845,2109,-10
857610655,857610657,2,1783,2138,-10
858371798,858371800,2,1415,1251,-10
860495247,860495247,0,1348,2793,-10
862578370,862578369,-1,1320,2762,-10
872649514,872649517,3,2393,1298,-10
875612965,875612968,3,1553,1842,-10
879480935,879480934,-1,1542,1275,-10
880509039,880509041,2,1427,1655,-10
887840958,887840963,5,943,449,-10
888570642,888570639,-3,1351,1824,-10
888599130,888599132,2,1103,1823,-10
893838758,893838762,4,834,726,-10
893901996,893902002,6,1105,1161,-10
894749418,894749424,6,12353,4487,-10
896605217,896605221,4,1463,1343,-10
901462862,901462865,3,1816,1338,-10
903856706,903856706,0,2096,1913,-10
904089629,904089631,2,1220,863,-10
904542184,904542183,-1,1948,1426,-10
908600363,908600367,4,1810,1609,-10
908890204,908890205,1,1559,1467,-10
908925232,908925232,0,1417,2328,-10
911578850,911578850,0,2231,2326,-10
913381917,913381918,1,1135,1221,-10
913485118,913485120,2,1122,1557,-10
914907911,914907910,-1,1593,2760,-10
915885146,915885147,1,1687,1446,-10
916096562,916096566,4,1424,1474,-10
917423960,917423962,2,2259,2651,-10
918821281,918821282,1,945,1424,-10
919645118,919645118,0,1557,1265,-10
921977179,921977180,1,1482,1083,-10
925339278,925339279,1,1639,1910,-10
926008087,926008086,-1,1181,1892,-10
926618524,926618526,2,1429,1413,-10
926804662,926804643,-19,622,446,-10
931302661,931302661,0,858,1282,-10
931452442,931452443,1,1481,1314,-10
932137721,932137722,1,1319,1106,-10
932223952,932223954,2,1350,1601,-10
934887997,934887999,2,2219,2147,-10
938291670,938291671,1,1281,2061,-10
940684805,940684800,-5,1085,4872,-10
942254454,942254454,0,1297,1574,-10
951686951,951686951,0,1053,1599,-10
955683323,955683325,2,1495,1356,-10
960220020,960220023,3,1358,1387,-10
962509674,962509676,2,1765,1581,-10
967280493,967280494,1,1208,1666,-10
968959884,968959885,1,1761,1269,-10
970579958,970579962,4,1882,1577,-10
972456143,972456145,2,1242,2221,-10
975805679,975805681,2,1614,1574,-10
978924119,978924123,4,1198,1504,-10
979561178,979561182,4,1836,1609,-10
981284603,981284607,4,1680,1557,-10
981566189,981566190,1,1765,1892,-10
984148133,984148136,3,2071,2028,-10
986181348,986181351,3,1982,1634,-10
986709206,986709206,0,1996,2549,-10
995494826,995494820,-6,1211,5385,-10
997076312,997076305,-7,879,4492,-10
1000949794,1000949797,3,1206,1050,-10
1001308745,1001308747,2,1990,1414,-10
1002380578,1002380579,1,888,1654,-10
1004299347,1004299349,2,1414,1038,-10
1012094707,1012094707,0,1049,1669,-10
1013312151,1013312154,3,1054,1458,-10
1017676806,1017676811,5,1560,1546,-10
1019373112,1019373115,3,1911,1264,-10
1020130714,1020130715,1,1596,1278,-10
1021965685,1021965685,0,1491,2741,-10
1025108778,1025108782,4,2026,1252,-10
1025134590,1025134593,3,1334,1837,-10
1025668615,1025668614,-1,1726,1004,-10
1027000967,1027000970,3,1668,1877,-10
1027094739,1027094742,3,1661,1277,-10
1028522639,1028522638,-1,1977,3667,-10
1029008802,1029008797,-5,723,4082,-10
1032011107,1032011110,3,2213,1732,-10
1032668486,1032668487,1,2178,2130,-10
1033501405,1033501408,3,1565,1238,-10
1035081868,1035081871,3,787,1465,-10
1039037121,1039037124,3,1923,1386,-10
1039511152,1039511155,3,1317,967,-10
1044048430,1044048434,4,1231,1057,-10
1047025610,1047025611,1,1671,1334,-10
1047243574,1047243575,1,1476,1220,-10
1047987125,1047987123,-2,1094,1745,-10
1049900704,1049900701,-3,974,1592,-10
1050611206,1050611209,3,1970,1414,-10
1051433957,1051433958,1,1919,1335,-10
1052341505,1052341504,-1,1532,2246,-10
1059920377,1059920382,5,1962,1436,-10
1061940641,1061940643,2,2210,2022,-10
1063069691,1063069693,2,1277,1454,-10
1063755050,1063755054,4,987,805,-10
1066307974,1066307977,3,1794,1862,-10
1067634265,1067634265,0,2598,2031,-10
1068371546,1068371548,2,1568,1615,-10
1069844942,1069844944,2,959,1104,-10
1073751262,1073751258,-4,1084,1481,-10
1077794734,1077794733,-1,1314,1815,-10
1077863685,1077863687,2,1273,1301,-10
1086439086,1086439087,1,967,1290,-10
1087506262,1087506259,-3,1068,1793,-10
1089553230,1089553232,2,2355,1972,-10
1090653722,1090653729,7,869,1089,-10
1092129329,1092129331,2,1587,1339,-10
1095202294,1095202298,4,3028,1677,-10
1095322502,1095322506,4,2308,1752,-10
1095387234,1095387242,8,2189,879,-10
1095706048,1095706048,0,1639,1660,-10
1097706244,1097706246,2,1981,1909,-10
1097769360,1097769361,1,1751,1463,-10
1099450764,1099450766,2,1844,1930,-10
1105263520,1105263521,1,1644,1575,-10
1106758775,1106758775,0,1804,1273,-10
1108087526,1108087528,2,1552,1736,-10
1110178424,1110178423,-1,1215,1940,-10
1112974099,1112974101,2,880,1290,-10
1113045252,1113045258,6,1969,1046,-10
1114362323,1114362324,1,1043,1395,-10
1116518286,1116518303,17,1320,1424,-10
1119253819,1119253799,-20,1763,1418,-10
1119527950,1119527953,3,2049,1179,-10
1119582567,1119582569,2,1744,1785,-10
1120285766,1120285771,5,1903,1388,-10
1120484865,1120484866,1,1228,1252,-10
1121475303,1121475303,0,1950,1411,-10
1122117004,1122117006,2,1648,1631,-10
1126352900,1126352903,3,1201,1703,-10
1128716669,1128716671,2,928,902,-10
1131176359,1131176358,-1,1612,1756,-10
1132193589,1132193591,2,2237,2650,-10
1139369972,1139369971,-1,1532,1642,-10
1139831482,1139831484,2,1376,1237,-10
1145764997,1145764999,2,1912,1617,-10
1149873970,1149873972,2,922,1285,-10
1152853045,1152853046,1,1391,1399,-10
1156050522,1156050522,0,887,935,-10
1156869384,1156869386,2,1273,1702,-10
1157555954,1157555957,3,947,924,-10
1158502107,1158502106,-1,1308,1789,-10
1161646849,1161646850,1,1319,1462,-10
1162127317,1162127313,-4,1491,4942,-10
1163875821,1163875822,1,2168,2100,-10
1163974561,1163974563,2,1984,1472,-10
1165036292,1165036294,2,1321,1348,-10
1167493346,1167493350,4,2528,2281,-10
1171262553,1171262554,1,1583,1880,-10
1172675117,1172675117,0,1493,1800,-10
1173718790,1173718791,1,1533,1301,-10
1175481890,1175481891,1,1686,1389,-10
1177457886,1177457888,2,1448,1696,-10
1178949582,1178949585,3,2129,1825,-10
1180163962,1180163965,3,1502,1485,-10
1181619212,1181619213,1,1430,1188,-10
1182318884,1182318887,3,1775,1175,-10
1184328083,1184328085,2,1362,2062,-10
1184464554,1184464557,3,1103,1458,-10
1187581233,1187581233,0,999,1222,-10
1187677306,1187677305,-1,1453,1553,-10
1193113339,1193113340,1,1101,1147,-10
1194573591,1194573593,2,1848,1466,-10
1195389259,1195389262,3,1809,1384,-10
1195632838,1195632839,1,1615,2262,-10
1197403598,1197403599,1,1584,1318,-10
1202320254,1202320250,-4,1030,1893,-10
1204977748,1204977750,2,1447,1706,-10
1209973222,1209973237,15,1918,1627,-10
1213776853,1213776845,-8,7483,16105,-10
1215764061,1215764063,2,1202,1651,-10
1218180220,1218180226,6,2222,1282,-10
1219250394,1219250395,1,1390,2275,-10
1220947673,1220947674,1,1709,1291,-10
1223750456,1223750448,-8,1058,5429,-10
1223965043,1223965037,-6,241,1225,-10
1224467380,1224467387,7,9145,2488,-10
1225711122,1225711116,-6,1508,5176,-10
1227232358,1227232362,4,1145,1385,-10
1234411780,1234411781,1,1388,1351,-10
1235411514,1235411521,7,4222,1663,-10
1243557811,1243557814,3,1659,1704,-10
1244736541,1244736543,2,2023,1982,-10
1248961455,1248961458,3,1813,1470,-10
1249435525,1249435527,2,1878,1668,-10
1252303329,1252303330,1,883,1142,-10
1253924380,1253924382,2,1482,1549,-10
1260194622,1260194626,4,1317,1414,-10
1260517138,1260517139,1,1923,1743,-10
1262513147,1262513146,-1,2064,1540,-10
1263312342,1263312344,2,1902,1457,-10
1264512550,1264512553,3,1719,1122,-10
1265269768,1265269769,1,1695,1765,-10
1266747600,1266747600,0,1201,1492,-10
1267689487,1267689490,3,1797,1893,-10
1268020037,1268020039,2,1010,1036,-10
1275819860,1275819861,1,1812,1790,-10
1276287821,1276287820,-1,1282,2407,-10
1280331794,1280331796,2,1615,1636,-10
1281331335,1281331339,4,1982,1981,-10
1282139706,1282139710,4,2186,2003,-10
1282190990,1282190991,1,1692,1404,-10
1283997130,1283997130,0,1335,1137,-10
1284368502,1284368505,3,1398,1195,-10
1284786041,1284786044,3,1965,1651,-10
1286999263,1286999275,12,1313,1262,-10
1292443083,1292443085,2,1932,1230,-10
1292926662,1292926669,7,5413,1190,-10
1294430272,1294430278,6,1493,1254,-10
1296727659,1296727662,3,1130,1362,-10
1297645065,1297645067,2,1759,1626,-10
1297967217,1297967218,1,995,860,-10
