fTNear,fTFar,fDelT,fQNear,fQFar,d
1812854118,1812854114,-4,967,2597,30
1814105319,1814105314,-5,865,2537,30
1820230631,1820230624,-7,869,2781,30
1821401691,1821401686,-5,860,2503,30
1823769581,1823769577,-4,1145,3004,30
1824959998,1824959994,-4,1054,3377,30
1830857281,1830857277,-4,882,2997,30
1847862447,1847862442,-5,948,3273,30
1849768527,1849768523,-4,917,2794,30
1852132453,1852132459,6,2057,1226,30
1854240801,1854240795,-6,1188,3847,30
1854876731,1854876727,-4,855,2551,30
1859143866,1859143862,-4,1017,3255,30
1862068743,1862068737,-6,1108,2920,30
1865728101,1865728084,-17,3063,1326,30
1866144269,1866144262,-7,952,3461,30
1873290282,1873290279,-3,1283,1878,30
1873417456,1873417462,6,264,1095,30
1881644658,1881644650,-8,765,5253,30
1883529594,1883529593,-1,1260,1728,30
1885885991,1885885989,-2,1235,2486,30
1893421627,1893421621,-6,900,3253,30
1893665326,1893665321,-5,1371,3026,30
1894460190,1894460185,-5,1135,2800,30
1895349754,1895349748,-6,1140,4174,30
1895977567,1895977561,-6,1279,3229,30
1899932439,1899932434,-5,1254,4225,30
1900740971,1900740962,-9,312,1466,30
1904576055,1904576049,-6,767,3428,30
1906050439,1906050444,5,2333,1276,30
1908796042,1908796037,-5,1154,3662,30
1917650342,1917650338,-4,754,2564,30
1919404914,1919404908,-6,1102,2878,30
1923040213,1923040208,-5,1503,3008,30
1923066378,1923066374,-4,935,2861,30
1927925246,1927925240,-6,852,3780,30
1928343827,1928343821,-6,990,2258,30
1929456278,1929456274,-4,1253,2415,30
1931731275,1931731273,-2,1250,2880,30
1932645602,1932645618,16,576,1038,30
1938020761,1938020763,2,3270,2715,30
1942686894,1942686897,3,1469,1521,30
1943781547,1943781552,5,10462,24496,30
1947114368,1947114363,-5,961,3393,30
1949628802,1949628796,-6,1341,3892,30
1949677721,1949677719,-2,1206,2727,30
1950712153,1950712149,-4,948,2427,30
1952246538,1952246533,-5,1584,3817,30
1952318695,1952318692,-3,1065,2220,30
1953264188,1953264182,-6,1058,2615,30
1956695359,1956695354,-5,1018,2910,30
1958347086,1958347085,-1,1001,2656,30
1965360915,1965360910,-5,1171,2951,30
1970143014,1970143008,-6,1195,3233,30
1973493017,1973493010,-7,890,4310,30
1974227939,1974227935,-4,1195,3154,30
1975029636,1975029631,-5,1243,2501,30
1975532654,1975532650,-4,901,4477,30
1993003475,1993003470,-5,902,3132,30
1993874022,1993874018,-4,839,2705,30
1995702267,1995702262,-5,1553,3275,30
1997202017,1997202014,-3,1267,3350,30
1999568006,1999568003,-3,837,2786,30
2001924999,2001924995,-4,880,2885,30
2001990011,2001990030,19,619,1580,30
2002063268,2002063261,-7,778,1933,30
2005144891,2005144886,-5,955,3322,30
2005751491,2005751510,19,505,1325,30
2006607251,2006607247,-4,953,3835,30
2006636029,2006636029,0,1525,1603,30
2008097241,2008097235,-6,1344,2456,30
2010602771,2010602768,-3,777,3199,30
2010974606,2010974601,-5,1060,3256,30
2014858969,2014858961,-8,1238,3014,30
2018184118,2018184121,3,1946,1711,30
2018942373,2018942368,-5,919,2206,30
2022554033,2022554029,-4,812,2920,30
2024165798,2024165793,-5,839,3179,30
2029296232,2029296234,2,2175,3035,30
2034420414,2034420411,-3,1025,3532,30
2034684423,2034684409,-14,880,134,30
2042508016,2042508012,-4,1368,1734,30
2042852689,2042852685,-4,1043,2037,30
2045706835,2045706830,-5,888,2846,30
2049156257,2049156252,-5,1020,2860,30
2052304211,2052304205,-6,744,2893,30
2060112438,2060112435,-3,818,2378,30
2062355826,2062355822,-4,1362,3382,30
2066838890,2066838887,-3,1504,3208,30
2067093219,2067093213,-6,885,3719,30
2067124401,2067124398,-3,857,2430,30
2067291035,2067291054,19,549,1317,30
2067360502,2067360483,-19,1798,1656,30
2074810634,2074810630,-4,1294,4023,30
2077057850,2077057845,-5,1077,2529,30
2077223714,2077223726,12,388,1154,30
2078771188,2078771182,-6,1346,2303,30
2079859978,2079859973,-5,1129,3255,30
2086848815,2086848814,-1,1197,1511,30
